Included,Year,Keywords
wos_43,2009,Residential Segregation;Cellular-Automata;Action Zones;Racial Segregation;Dynamics;Urban;Preferences;Emergence;Sociology;Poverty
wos_23,2014,Land-Use;Integrated Assessment;Socioeconomic Change;Cellular-Automata;Travel Behavior;Periurban City;Scenarios;Preferences;Simulation;Climate
wos_33,2010,Agent-Based Model;Location Choice;Social Segregation;Travel Time
wos_34,2020,Life-Cycle;Neighborhood;Segregation;Simulation;Choice
wos_35,2018,Loss Aversion;Land-Use;Sensitivity-Analysis;Location Choice;Price;Transportation;Uncertainty;Psychology;Design
wos_36,2012,Agent-Based Modeling;Cliques;Networks;Schelling;Segregation
wos_41,2017,Urban Spatial Structure;Land-Use Change;Decentralized Employment;Residential Segregation;Equilibrium-Model;Metropolitan-Area;Cities;Discrete;Configurations;Heterogeneity
wos_63,2009,Theoretical Explorations;Ethnic-Preferences;White Flight;Dynamics
wos_87,2021,Racial Segregation;Residential Segregation;Immigrants
wos_88,2009,Ethnic-Preferences;Neighborhood;Benefits;Prices;Rise
wos_97,2005,Neighborhood Racial Segregation
wos_98,2012,Urban Segregation;Social Mix;Urban Policies;Social Simulation;Agent-Based Model;Brazil
wos_105,2019,Division-Of-Labor;Gender-Gap;Mate Selection;Union Formation;Sex-Differences;Marriage;Preferences;Education;Reversal;Homogamy
wos_110,2010,Ethnic-Preferences;Dynamics;Agent-Based Modeling;Gis;Residential Segregation
wos_114,2015,Economic-Growth;Agglomeration Economies;Microdata Panel;Brain-Drain;Land-Use;Us;Productivity;Innovation;Entrepreneurship;Bohemians
wos_128,2021,Rent-Gap Theory;Migration;Agent-Based Modelling;Urban Dynamics;Housing;Social Simulation;Lebanon
wos_138,2021,Climate;Agent-Based Modeling;Migration;Genetic Algorithm;Mekong Delta
wos_141,2009,Ethnic-Preferences;Theoretical Explorations;Racial Segregation
wos_142,2008,Gentrification;Multi-Agent Systems;Cellular Automata;Real Estate Market;Rent Gap
wos_156,2015,Residential Segregation;Land-Use;Cellular-Automata;Simulation;Preferences;Gis
wos_339,2022,Gentrification;Dynamics;Models;Airbnb
wos_396,2016,Emergence;Evolution;Patterns
wos_419,2016,Market;Protocol
wos_446,2013,Multiagent Systems;Cover Change;Urban Form;Population;Simulation;Actors;Market;Gis
add_01,2007,Agent-Based Models;Residential Choice;Schelling;Segregation;Wealth;Status
add_02,2009,Location Choice;Urban Land Market;Agent-Based Computational Economics;Land Use;Land Rent Gradient;Spatial Simulation
wos_12,2023,Socioeconomic Segregation;Urban;Cities;Poor;Transportation;Form
scopus_4,2021,Agent-Based Modelling;Housing Choice;Residential Mobility;Dynamic Urban Planning;Pro-Social City Development 
scopus_16,2022,Housing Size;Switzerland;Empirical Agent-Based Modelling;Sustainability
scopus_55,2022,Gas Emissions;Greenhouse Gases;Agent Based;Agent Based Simulation;Central Point;Daily Mobilities;Greenhouse Gas Emissions;Interaction Modeling;Location Choice;Mode Of Transport;Transport Modelling;Urban Travels;Land Use
scopus_46,2023,Australia;Brisbane;Queensland;Autonomous Agents;Behavioral Research;Computational Methods;Costs;Decision Making;Decision Theory;Dynamics;Economics;Geographic Information Systems;Housing;Simulation Platform;Urban Growth;Agent Based Simulation;Agent-Based Model;Analytic Hierarchic Process;Geographic Information System;Green Infrastructure;Multi-Criteria Decision Analysis;Residential Mobility;Urban Development;Urban Green Infrastructure;Analytical Hierarchy Process;Computer Simulation;Gentrification;Gis;Multicriteria Analysis;Residential Mobility;Simulation;Urban Development;Parks
scopus_39,2012,Computational Methods;Housing;Interactive Computer Systems;Multimedia Systems;Urban Planning;Agent-Based Modelling;Compact City;Downtown Decline;Policy Effects;Urban Shrinkages;Public Policy
scopus_70,2012,Residential Mobility;Housing Choice;Regeneration
sd_cst2_0,2017,Population Synthesis;Vehicle Ownership Synthesis;Life-Stage Transitions;Agent-Based Modeling;Integrated Urban Model
scopus_87,2014,Experiments;Housing;Land Use;Parameterization;Shrinkage;Surveys;Agent-Based Model;Agent-Based Modelling;Model Complexity;Questionnaire Surveys;Residential Mobility;Shrinking City;Structural Refinement;Urban Land-Use Change;Computational Methods
scopus_71,2007,Data Simulation;Dynamic Data Model;Social Science;Spatial Data;Complexity;Data Mining Algorithms;Data Abstraction.
sd_cst4_27,2008,Multi-Agent Systems;Economic Models;Pareto And Boltzmann–gibbs Distributions
sd_cst4_18,2013,Wealth Distribution;Multi-Agent Dynamic Model;Bequests To A Single Heir;Bequests To Charities
sd_cst2_64,2013,Microsimulation;Market;Disequilibrium;Housing;Integrated Model;Agent-Based;Ilute
sd_cst2_40,2018,Agent-Based Model;K-Core;Rural-Urban Migration;China
wos_8,2022,Land-Use Change;Urban-Development;Choice Models;Transportation;Multiagent;Landscapes;Framework;Dynamics
sd_cst4_67,2016,Diet;Health Inequalities;Complex Systems;Social Influence;Segregation
wos_0,2022,Decision-Making;Choice;Dynamics
wos_2,2015,Intervening Opportunities;Spatial-Interaction;Life-Course;Land-Use;Simulation;Dynamics;Mobility;Challenges;Choice;Scale
wos_10,2021,Land-Use Development;Residential Location;Choice;Mobility;Market
wos_7,2013,Life-Course;Urban;Preferences;Model
wos_1,2010,Land-Use;Cellular-Automata;Urban-Development;Cities;Households;Behavior;Germany;Sprawl
wos_4,2014,Segregation;Protocol;Choice
wos_5,2023,Preferences;Diversity
wos_6,2023,Residential Segregation;Preferences;Minorities;Sociology;Choice;Wealth
wos_22,2020,Land-Use;Spatial Equity;Sao-Paulo;Impacts;Dynamics;Choice;Transportation;Gentrification;Search
wos_79,2019,Residential Segregation;Land-Market;Population;Inequality;Density
wos_76,2016,Urban Resilience;Disaster Management;Dynamic Agent Based Modeling;Welfare Outcomes
wos_75,2018,Land-Use;Gentrification;Evolution;Protocol;Cities;Choice
wos_19,2017,Tenure Choice;Homeownership;Transition;Land
wos_13,2016,Land-Use;Urban-Development;Model;Transportation;Accessibility;Microsimulation;Decisions;Mobility;Distance
wos_69,2016,Hybrid Genetic Algorithm;Property-Values;Loss Aversion;Parameter-Estimation;Metropolitan-Area;Urban-Development;Kinetic-Models;Accessibility;Behavior;Simulation
wos_17,2013,Indirect Energy-Requirements;Location
wos_52,2018,Neighborhood Racial Segregation;Ethnic-Preferences;Validation;Dynamics
wos_20,2009,Residential Choice;Nonstationary Housing Markets
wos_14,2016,Agent-Based Model;Land-Use;Urban Forest;Neighborhood;Location;Support;Simulation;Optimization;Preferences;Population
wos_15,2017,Cellular-Automata;Urban;Simulation;Dynamics;Mobility